Name,Description,Due Date,Tags,Stage,Risk Flag
🔍 Pre-Sales:,,,,,
"[HOW TO USE] When starting a new Pre-Sales opportunity:","1. Create a new task named: [PRE-SALES] <Company> — <Use case>  2. Set Stage=Pre-Sales and fill in Field Service Rep / ARR Potential / Vector Opportunity fields on that task.  3. Open the task and add the checklist tasks below as SUBTASKS (Tab+S). Delete this instruction task when done.",,setup,,
"[Day 1] ARR Potential confirmed & entered in Asana field","Owner: CE | Set ARR Potential custom field on the parent opportunity task. Required for Goal 1 tracking. Estimate based on team size and license tier.",,admin,Pre-Sales,None
"[Day 1] Vector Opportunity / Workload URL added","Owner: CE | Paste the CRM opportunity URL into the Vector Opportunity / Workload custom field on the parent opportunity task.",,admin,Pre-Sales,None
"[Week 1] Initial technical discovery call","Owner: CE | Cover: current dev tooling, team size, pain points, GCA awareness level, key stakeholders",,discovery,Pre-Sales,None
"[Week 1] Document requirements & current stack","Owner: CE | Record: languages, IDEs, CI/CD, security posture, VPC/proxy requirements, compliance needs",,discovery,Pre-Sales,None
"[Week 2] Map requirements to GCA capabilities","Owner: CE | Identify fit and gaps between customer requirements and GCA features; note competitive context and differentiation vs GitHub Copilot / Cursor",,analysis,Pre-Sales,None
"[Week 2] Identify stakeholders (sponsor / IT / security)","Owner: CE | Map: economic buyer, technical sponsor, IT admin, security reviewer; confirm decision-making process and timeline",,planning,Pre-Sales,None
"[Week 2] Competitive landscape noted","Owner: CE | Document competing tools in evaluation and CE differentiation strategy. Note if customer has existing licenses elsewhere.",,analysis,Pre-Sales,None
"[Week 3] Assess security & compliance requirements","Owner: CE | Validate GCA data residency, VPC-SC, audit logging, and approval requirements with customer IT/security team",,compliance,Pre-Sales,None
"[Week 3-4] POC scope & success criteria agreed","Owner: CE + Customer | Agree on: pilot group size (10-20 devs), duration (4-6 weeks), success metrics (WAU %), exit criteria, and decision timeline",,planning,Pre-Sales,None
"[Week 4] Decision: Start POC / No Interest / Stalled","Owner: CE | If POC: update Stage field to POC on the opportunity task (triggers Rule 4 auto-project creation). If no go: set Outcome = Closed-Lost or No Interest and move to Closed section.",,decision,Pre-Sales,None
