Name,Description,Due Date,Tags,Stage,Risk Flag
🧪 POC:,,,,,
[MILESTONE] POC Kickoff,Owner: CE | Timing: Day 1 | Convert to Milestone after import,,milestone,POC,None
POC environment provisioned (licenses/access),"Owner: CE + Customer IT | Timing: Day 1-2 | Ensure GCA licenses assigned and dev environments accessible",,setup,POC,None
Opstree architect assigned & briefed,Owner: CE | Timing: Day 1 | Share customer context and POC scope,,setup,POC,None
POC kickoff meeting with customer engineering,"Owner: CE + Opstree | Timing: Day 2-3 | Agenda: introductions, GCA overview, pilot group selection, timeline",,kickoff,POC,None
POC success criteria sign-off doc shared & agreed,"Owner: CE + Customer | Timing: Day 3-5 | Attach signed doc to task. Capture: success metrics, pilot group size, exit criteria, decision timeline",,sign-off,POC,None
GCA plugin deployed to pilot group (10-20 devs),Owner: Opstree + Customer IT | Timing: Day 5-7 | IDE plugin installed and validated for pilot users,,deployment,POC,None
Mid-POC check-in (blockers and feedback),Owner: CE | Timing: Week 2 | Review adoption and surface blockers,,check-in,POC,None
Adoption metrics from POC collected,"Owner: CE | Timing: Week 3 | Pull from GCA admin console: WAU, acceptance rate, active users",,metrics,POC,None
POC results documented,"Owner: CE + Opstree | Timing: Week 3-4 | Usage stats vs success criteria, wins, blockers resolved, recommendation",,documentation,POC,None
Executive readout / go-forward recommendation,Owner: CE | Timing: Week 4-5 | Present results and recommendation to sponsor and economic buyer,,readout,POC,None
Commercial proposal submitted,Owner: AE | Timing: Week 5 | CE to support with technical scope and licensing details,,commercial,POC,None
Decision: Closed-Won / Closed-Lost,Owner: CE | Timing: Week 5-6 | Update Stage and Outcome fields and notify team,,decision,POC,None
[MILESTONE] POC Completion,Owner: CE | Timing: Week 4-6 | Convert to Milestone after import,,milestone,POC,None
🚀 Hyper-Care:,,,,,
[MILESTONE] Kickoff Complete,Owner: CE | Timing: Day 5 | Convert to Milestone after import,,milestone,Hyper-Care,None
[MILESTONE] Plugin Deployed,Owner: Opstree | Timing: Day 14 | Convert to Milestone after import,,milestone,Hyper-Care,None
[MILESTONE] 30-Day Adoption Report,Owner: CE | Timing: Day 30 | Convert to Milestone after import,,milestone,Hyper-Care,None
[MILESTONE] 60-Day Health Check,Owner: CE | Timing: Day 60 | Convert to Milestone after import,,milestone,Hyper-Care,None
[MILESTONE] Graduation to Steady-State,Owner: CE | Timing: Day 90 | Convert to Milestone after import,,milestone,Hyper-Care,None
Internal handoff (CE to Opstree to TAM),"Owner: CE | Timing: Day 1 | Brief Opstree and TAM on customer context, deal details, and 90-day plan",,kickoff,Hyper-Care,None
Customer kickoff call,"Owner: CE + Opstree | Timing: Day 3 | Introductions, onboarding plan walkthrough, expectations setting",,kickoff,Hyper-Care,None
Technical onboarding plan shared,Owner: Opstree | Timing: Day 5 | Deliver written onboarding plan to customer IT and champion,,kickoff,Hyper-Care,None
Admin console setup & license provisioning,Owner: Opstree | Timing: Day 7 | Configure GCA admin console and assign licenses to pilot users,,setup,Hyper-Care,None
Admin sessions delivered (IT/admin team training),Owner: Opstree | Timing: Day 7-14 | Train customer admins on GCA console management,,enablement,Hyper-Care,None
Enablement sessions conducted (dev team onboarding),Owner: Opstree | Timing: Day 14-30 | Developer onboarding sessions covering GCA features and best practices,,enablement,Hyper-Care,None
IDE plugin deployment plan agreed with IT,Owner: Opstree + Customer IT | Timing: Day 7-10 | Document rollout approach and dependencies,,deployment,Hyper-Care,None
Pilot group rollout (10-20 devs),Owner: Opstree + Customer IT | Timing: Day 14 | Full plugin installation and validation for pilot cohort,,deployment,Hyper-Care,None
VPC-SC / proxy configuration (if needed),Owner: Opstree | Timing: Day 10-14 | Configure network routing for GCA in restricted environments,,setup,Hyper-Care,None
Coding standards & prompt guidance shared,Owner: Opstree | Timing: Day 14 | Share GCA usage guidelines and prompt engineering tips with dev team,,enablement,Hyper-Care,None
First adoption metrics collected,Owner: CE | Timing: Day 21 | Pull WAU and acceptance rate from GCA admin console,,metrics,Hyper-Care,None
